asset_id,asset_type,state,constituency,synthetic_latitude,synthetic_longitude,asset_status,installation_year,condition,synthetic
AST-0052,School Building,Odisha,CUTTACK,23.70516,71.62378,DECOMMISSIONED,2011,GOOD,TRUE
AST-0053,Anganwadi Center,Gujarat,SURAT,17.65505,73.14855,ACTIVE,2006,FAIR,TRUE
AST-0054,Borewell,Maharashtra,AMRAVATI(SC),23.36018,78.13177,DECOMMISSIONED,2010,GOOD,TRUE
AST-0055,Road Segment,Bihar,JHANJHARPUR,16.998,78.10911,ACTIVE,2005,POOR,TRUE
AST-0056,Water Tank,Gujarat,SURAT,17.15932,96.25259,INACTIVE,2022,FAIR,TRUE
AST-0057,School Building,Odisha,CUTTACK,9.14594,81.01993,ACTIVE,2008,GOOD,TRUE
AST-0058,Health Sub-Center,Maharashtra,AMRAVATI(SC),21.2484,94.58277,ACTIVE,2008,POOR,TRUE
AST-0059,Community Hall,Bihar,JHANJHARPUR,8.66892,94.9655,DECOMMISSIONED,2007,GOOD,TRUE
AST-0060,Sports Ground,Bihar,JHANJHARPUR,31.71364,68.99373,ACTIVE,2013,FAIR,TRUE
AST-0061,Water Tank,Bihar,GAYA,22.6609,71.14623,UNDER_MAINTENANCE,2006,GOOD,TRUE
AST-0062,Sports Ground,Maharashtra,NASHIK,23.41231,90.98098,UNDER_MAINTENANCE,2016,FAIR,TRUE
AST-0063,Community Hall,Kerala,ALAPPUZHA,9.65329,74.06016,ACTIVE,2024,POOR,TRUE
AST-0064,Streetlight Cluster,West Bengal,HOWRAH,22.24795,73.89715,ACTIVE,2012,FAIR,TRUE
AST-0065,Sports Ground,Kerala,ALAPPUZHA,31.86645,81.21164,ACTIVE,2006,FAIR,TRUE
AST-0066,Water Tank,Gujarat,SURAT,17.39372,94.79467,ACTIVE,2010,FAIR,TRUE
AST-0067,Public Park,Kerala,ALAPPUZHA,22.46561,85.11756,ACTIVE,2007,FAIR,TRUE
AST-0068,Drainage Line,Maharashtra,AMRAVATI(SC),9.42168,75.56674,INACTIVE,2020,GOOD,TRUE
AST-0069,Health Sub-Center,Telangana,WARANGAL,13.69213,84.65208,ACTIVE,2008,GOOD,TRUE
AST-0070,Public Park,Gujarat,SURAT,25.04768,76.6628,ACTIVE,2006,POOR,TRUE
AST-0071,Sports Ground,West Bengal,HOWRAH,12.80233,84.67601,INACTIVE,2020,FAIR,TRUE
AST-0072,Water Tank,Odisha,CUTTACK,21.51643,69.96079,INACTIVE,2021,FAIR,TRUE
AST-0073,Road Segment,Bihar,JHANJHARPUR,13.92245,89.24827,ACTIVE,2016,GOOD,TRUE
AST-0074,Public Toilet Complex,Tamil Nadu,VIRUDHUNAGAR,9.53978,84.61976,ACTIVE,2010,POOR,TRUE
AST-0075,Borewell,Punjab,LUDHIANA,13.978,94.38541,DECOMMISSIONED,2007,FAIR,TRUE
AST-0076,Borewell,Uttar Pradesh,JAUNPUR,23.38787,92.3241,INACTIVE,2005,FAIR,TRUE
AST-0077,Community Hall,Odisha,CUTTACK,11.94317,76.5075,INACTIVE,2021,POOR,TRUE
AST-0078,Road Segment,Bihar,JHANJHARPUR,21.304,94.25516,DECOMMISSIONED,2015,GOOD,TRUE
AST-0079,Bridge / Culvert,Maharashtra,NASHIK,27.59094,91.57338,UNDER_MAINTENANCE,2025,GOOD,TRUE
AST-0080,Streetlight Cluster,Uttar Pradesh,JAUNPUR,25.18966,78.51634,ACTIVE,2021,CRITICAL,TRUE
AST-0081,Bus Shelter,Tamil Nadu,VIRUDHUNAGAR,30.91651,74.32399,UNDER_MAINTENANCE,2022,GOOD,TRUE
AST-0082,Sports Ground,Maharashtra,AMRAVATI(SC),20.47562,91.955,ACTIVE,2010,POOR,TRUE
AST-0083,Community Hall,Bihar,JHANJHARPUR,25.80125,73.68389,INACTIVE,2011,GOOD,TRUE
AST-0084,School Building,Odisha,CUTTACK,16.77165,85.36468,ACTIVE,2009,POOR,TRUE
AST-0085,Water Tank,Gujarat,SURAT,24.02954,76.41198,INACTIVE,2021,POOR,TRUE
AST-0086,Drainage Line,Karnataka,HAVERI,27.69356,92.24743,ACTIVE,2007,POOR,TRUE
AST-0087,Bus Shelter,Bihar,JHANJHARPUR,11.93069,70.48986,ACTIVE,2010,CRITICAL,TRUE
AST-0088,Sports Ground,Odisha,CUTTACK,30.56394,78.70046,ACTIVE,2013,GOOD,TRUE
AST-0089,Bridge / Culvert,West Bengal,HOWRAH,11.77448,80.69604,ACTIVE,2012,GOOD,TRUE
AST-0090,Community Hall,Rajasthan,JHUNJHUNU,13.16949,81.94812,DECOMMISSIONED,2007,GOOD,TRUE
AST-0091,Public Park,Madhya Pradesh,GUNA,12.74427,75.34531,ACTIVE,2023,POOR,TRUE
AST-0092,Streetlight Cluster,Madhya Pradesh,MANDSOUR,32.90922,80.67512,ACTIVE,2021,CRITICAL,TRUE
AST-0093,Sports Ground,Odisha,CUTTACK,24.54015,68.65516,ACTIVE,2007,POOR,TRUE
AST-0094,Anganwadi Center,Bihar,JHANJHARPUR,20.6627,74.00716,ACTIVE,2023,GOOD,TRUE
AST-0095,Sports Ground,Karnataka,HAVERI,14.02612,69.34726,ACTIVE,2020,FAIR,TRUE
AST-0096,Public Park,Maharashtra,NASHIK,31.55757,89.34719,ACTIVE,2017,FAIR,TRUE
AST-0097,Public Toilet Complex,Bihar,GAYA,32.22009,88.71417,INACTIVE,2021,FAIR,TRUE
AST-0098,Library,Uttar Pradesh,JAUNPUR,27.94452,73.95338,ACTIVE,2005,GOOD,TRUE
AST-0099,Bus Shelter,Madhya Pradesh,GUNA,15.0951,96.01054,ACTIVE,2021,CRITICAL,TRUE
AST-0100,Bus Shelter,Kerala,ALAPPUZHA,30.75603,73.17403,UNDER_MAINTENANCE,2020,FAIR,TRUE
AST-0101,Drainage Line,Maharashtra,AMRAVATI(SC),21.34751,86.63524,INACTIVE,2025,CRITICAL,TRUE
AST-0102,Anganwadi Center,Maharashtra,NASHIK,26.92897,69.83153,ACTIVE,2023,FAIR,TRUE
AST-0103,Community Hall,Maharashtra,AMRAVATI(SC),18.29541,82.42798,DECOMMISSIONED,2019,GOOD,TRUE
AST-0104,Library,Kerala,ALAPPUZHA,27.59742,89.79719,ACTIVE,2009,GOOD,TRUE
AST-0105,Water Tank,West Bengal,HOWRAH,22.30987,79.8474,ACTIVE,2020,POOR,TRUE
AST-0106,Road Segment,Madhya Pradesh,GUNA,10.80176,74.65675,ACTIVE,2012,POOR,TRUE
AST-0107,Health Sub-Center,Uttar Pradesh,JAUNPUR,17.15298,91.68553,ACTIVE,2020,GOOD,TRUE
AST-0108,Bus Shelter,Rajasthan,RAJSAMAND,11.35395,70.82871,UNDER_MAINTENANCE,2009,FAIR,TRUE
AST-0109,Bridge / Culvert,Kerala,ALAPPUZHA,20.35165,78.69701,DECOMMISSIONED,2007,GOOD,TRUE
AST-0110,Borewell,Gujarat,SURAT,22.4756,92.09312,UNDER_MAINTENANCE,2008,GOOD,TRUE
AST-0111,Drainage Line,Maharashtra,NASHIK,29.69154,73.73965,INACTIVE,2016,FAIR,TRUE
AST-0112,Bridge / Culvert,Odisha,CUTTACK,15.86302,81.38882,DECOMMISSIONED,2014,POOR,TRUE
AST-0113,Public Toilet Complex,West Bengal,HOWRAH,27.19965,76.63396,INACTIVE,2012,GOOD,TRUE
AST-0114,Bridge / Culvert,West Bengal,HOWRAH,16.38903,84.34069,ACTIVE,2008,FAIR,TRUE
AST-0115,Road Segment,Punjab,LUDHIANA,29.2078,85.93114,ACTIVE,2018,FAIR,TRUE
AST-0116,Water Tank,Bihar,GAYA,29.1642,92.3861,UNDER_MAINTENANCE,2006,GOOD,TRUE
AST-0117,Road Segment,Bihar,GAYA,14.95196,82.73441,ACTIVE,2016,POOR,TRUE
AST-0118,Bus Shelter,Madhya Pradesh,MANDSOUR,18.84676,85.60547,ACTIVE,2007,GOOD,TRUE
AST-0119,Public Toilet Complex,Bihar,JHANJHARPUR,21.03879,93.49355,DECOMMISSIONED,2013,GOOD,TRUE
AST-0120,Bridge / Culvert,Tamil Nadu,ERODE,24.99169,93.94495,INACTIVE,2018,FAIR,TRUE
AST-0121,Library,Bihar,GAYA,19.92408,92.35095,ACTIVE,2020,POOR,TRUE
AST-0122,Anganwadi Center,Maharashtra,AMRAVATI(SC),22.51238,91.77131,ACTIVE,2011,POOR,TRUE
AST-0123,Water Tank,West Bengal,HOWRAH,14.60684,82.88855,UNDER_MAINTENANCE,2013,POOR,TRUE
AST-0124,Public Park,Madhya Pradesh,MANDSOUR,28.18277,89.48901,ACTIVE,2016,GOOD,TRUE
AST-0125,Borewell,Maharashtra,NASHIK,24.77175,93.15732,UNDER_MAINTENANCE,2020,GOOD,TRUE
AST-0126,Public Park,Gujarat,SURAT,13.69684,85.63564,DECOMMISSIONED,2011,POOR,TRUE
AST-0127,Borewell,Karnataka,HAVERI,9.42943,83.63943,INACTIVE,2021,FAIR,TRUE
AST-0128,Streetlight Cluster,Telangana,WARANGAL,30.14777,77.9318,DECOMMISSIONED,2012,FAIR,TRUE
AST-0129,Bridge / Culvert,Bihar,JHANJHARPUR,19.3078,73.57007,ACTIVE,2011,GOOD,TRUE
AST-0130,Drainage Line,Telangana,WARANGAL,16.36543,94.13515,ACTIVE,2018,FAIR,TRUE
AST-0131,Public Toilet Complex,Punjab,LUDHIANA,13.73677,95.43186,INACTIVE,2005,POOR,TRUE
AST-0132,Community Hall,Karnataka,HAVERI,29.75186,79.37941,ACTIVE,2006,FAIR,TRUE
AST-0133,Community Hall,Bihar,GAYA,20.63768,80.47434,ACTIVE,2011,GOOD,TRUE
AST-0134,Road Segment,Bihar,GAYA,10.62002,95.07793,UNDER_MAINTENANCE,2005,POOR,TRUE
AST-0135,School Building,Madhya Pradesh,GUNA,27.63361,70.89525,ACTIVE,2019,GOOD,TRUE
AST-0136,Drainage Line,Rajasthan,RAJSAMAND,16.83293,78.44382,UNDER_MAINTENANCE,2012,CRITICAL,TRUE
AST-0137,Sports Ground,Kerala,ALAPPUZHA,12.17539,83.92814,INACTIVE,2025,FAIR,TRUE
AST-0138,Sports Ground,Telangana,WARANGAL,29.4471,74.28417,ACTIVE,2018,POOR,TRUE
AST-0139,Public Park,Telangana,WARANGAL,26.82492,78.3816,ACTIVE,2005,POOR,TRUE
AST-0140,Public Toilet Complex,Rajasthan,JHUNJHUNU,15.06572,92.48925,ACTIVE,2008,FAIR,TRUE
AST-0141,Health Sub-Center,Rajasthan,JHUNJHUNU,10.36642,82.92731,UNDER_MAINTENANCE,2023,GOOD,TRUE
AST-0142,Borewell,Madhya Pradesh,GUNA,19.43797,87.41912,ACTIVE,2013,POOR,TRUE
AST-0143,Public Park,Bihar,JHANJHARPUR,12.90286,81.56295,ACTIVE,2007,GOOD,TRUE
AST-0144,Road Segment,Karnataka,HAVERI,15.62907,77.08141,INACTIVE,2010,CRITICAL,TRUE
AST-0145,Road Segment,Punjab,LUDHIANA,15.79932,93.58661,ACTIVE,2006,GOOD,TRUE
AST-0146,Anganwadi Center,Madhya Pradesh,MANDSOUR,14.47364,69.02443,INACTIVE,2014,GOOD,TRUE
AST-0147,Water Tank,Punjab,LUDHIANA,13.62387,70.59017,UNDER_MAINTENANCE,2009,GOOD,TRUE
AST-0148,Road Segment,Madhya Pradesh,GUNA,22.52972,72.56128,ACTIVE,2012,GOOD,TRUE
AST-0149,Sports Ground,Kerala,ALAPPUZHA,29.14852,77.67201,ACTIVE,2021,FAIR,TRUE
AST-0150,Bridge / Culvert,Bihar,JHANJHARPUR,9.47697,91.33086,INACTIVE,2024,FAIR,TRUE
AST-0151,Road Segment,Gujarat,SURAT,13.28584,91.98831,ACTIVE,2018,GOOD,TRUE
AST-0152,Sports Ground,Uttar Pradesh,JAUNPUR,9.40712,89.38805,ACTIVE,2022,GOOD,TRUE
AST-0153,Public Toilet Complex,Madhya Pradesh,MANDSOUR,23.72474,96.2575,ACTIVE,2015,POOR,TRUE
AST-0154,Community Hall,Gujarat,SURAT,26.07039,92.45691,ACTIVE,2010,POOR,TRUE
AST-0155,School Building,Rajasthan,RAJSAMAND,12.03273,87.02862,UNDER_MAINTENANCE,2006,GOOD,TRUE
AST-0156,Bridge / Culvert,Uttar Pradesh,JAUNPUR,23.17435,69.07918,ACTIVE,2018,FAIR,TRUE
AST-0157,Borewell,Telangana,WARANGAL,12.73891,70.06471,ACTIVE,2009,GOOD,TRUE
AST-0158,Water Tank,Odisha,CUTTACK,31.02511,88.37468,UNDER_MAINTENANCE,2018,GOOD,TRUE
AST-0159,Public Park,Kerala,ALAPPUZHA,16.4403,85.02059,INACTIVE,2023,POOR,TRUE
AST-0160,Public Park,Odisha,CUTTACK,30.45655,94.44718,ACTIVE,2019,POOR,TRUE
AST-0161,Library,Maharashtra,NASHIK,13.14289,78.53472,ACTIVE,2014,GOOD,TRUE
AST-0162,Bridge / Culvert,Tamil Nadu,VIRUDHUNAGAR,30.02877,73.63852,ACTIVE,2005,FAIR,TRUE
AST-0163,Streetlight Cluster,Uttar Pradesh,JAUNPUR,9.41185,81.28851,ACTIVE,2018,FAIR,TRUE
AST-0164,Borewell,Tamil Nadu,ERODE,8.58364,71.65915,ACTIVE,2015,GOOD,TRUE
AST-0165,Borewell,Maharashtra,AMRAVATI(SC),22.15517,88.75961,ACTIVE,2017,CRITICAL,TRUE
AST-0166,Health Sub-Center,Odisha,CUTTACK,27.09865,76.02428,INACTIVE,2011,FAIR,TRUE
AST-0167,Public Toilet Complex,Maharashtra,NASHIK,16.30251,77.65906,ACTIVE,2020,GOOD,TRUE
AST-0168,Anganwadi Center,Karnataka,HAVERI,23.08153,76.85109,ACTIVE,2011,FAIR,TRUE
AST-0169,Public Park,Bihar,GAYA,17.95104,94.99407,UNDER_MAINTENANCE,2019,POOR,TRUE
AST-0170,Health Sub-Center,Rajasthan,JHUNJHUNU,32.68747,96.3819,ACTIVE,2025,POOR,TRUE
AST-0171,Streetlight Cluster,Rajasthan,JHUNJHUNU,24.3168,79.98619,ACTIVE,2005,FAIR,TRUE
AST-0172,Anganwadi Center,Uttar Pradesh,JAUNPUR,25.61696,75.15033,ACTIVE,2005,POOR,TRUE
AST-0173,Community Hall,Gujarat,SURAT,25.81914,89.62114,ACTIVE,2015,POOR,TRUE
AST-0174,Drainage Line,Rajasthan,RAJSAMAND,16.55615,91.80586,UNDER_MAINTENANCE,2007,POOR,TRUE
AST-0175,School Building,Madhya Pradesh,GUNA,33.29421,89.52634,ACTIVE,2025,FAIR,TRUE
AST-0176,Drainage Line,Odisha,CUTTACK,11.98141,70.87685,ACTIVE,2021,FAIR,TRUE
AST-0177,Bridge / Culvert,Madhya Pradesh,GUNA,12.198,72.27888,INACTIVE,2016,FAIR,TRUE
AST-0178,Health Sub-Center,Kerala,ALAPPUZHA,30.15164,88.88887,ACTIVE,2015,GOOD,TRUE
AST-0179,Library,Punjab,LUDHIANA,17.42536,82.23591,ACTIVE,2017,GOOD,TRUE
AST-0180,School Building,Odisha,CUTTACK,31.61124,74.31361,DECOMMISSIONED,2011,FAIR,TRUE
AST-0181,Bus Shelter,Maharashtra,AMRAVATI(SC),11.87998,75.02948,ACTIVE,2005,FAIR,TRUE
AST-0182,Drainage Line,Tamil Nadu,VIRUDHUNAGAR,12.68729,78.16112,UNDER_MAINTENANCE,2011,GOOD,TRUE
AST-0183,Library,Gujarat,SURAT,16.12047,94.65388,DECOMMISSIONED,2024,FAIR,TRUE
AST-0184,Road Segment,Madhya Pradesh,MANDSOUR,24.42243,94.49815,ACTIVE,2023,FAIR,TRUE
AST-0185,Streetlight Cluster,Odisha,CUTTACK,13.14162,72.90233,ACTIVE,2012,GOOD,TRUE
AST-0186,Sports Ground,Bihar,JHANJHARPUR,9.979,71.10205,INACTIVE,2010,GOOD,TRUE
AST-0187,Health Sub-Center,Punjab,LUDHIANA,11.29089,77.44371,ACTIVE,2014,GOOD,TRUE
AST-0188,Bridge / Culvert,Tamil Nadu,ERODE,14.66982,84.03632,ACTIVE,2008,GOOD,TRUE
AST-0189,Sports Ground,West Bengal,HOWRAH,9.14027,70.39384,INACTIVE,2022,POOR,TRUE
AST-0190,Public Toilet Complex,Tamil Nadu,VIRUDHUNAGAR,22.00861,84.57549,ACTIVE,2021,GOOD,TRUE
AST-0191,Public Toilet Complex,Bihar,GAYA,12.79195,92.96471,DECOMMISSIONED,2023,CRITICAL,TRUE
AST-0192,Road Segment,Tamil Nadu,ERODE,19.16116,74.96975,DECOMMISSIONED,2015,FAIR,TRUE
AST-0193,Library,Odisha,CUTTACK,27.67966,74.14008,UNDER_MAINTENANCE,2009,FAIR,TRUE
AST-0194,Water Tank,Odisha,CUTTACK,24.83028,71.75651,ACTIVE,2006,GOOD,TRUE
AST-0195,Anganwadi Center,Rajasthan,JHUNJHUNU,13.7286,83.58438,ACTIVE,2013,GOOD,TRUE
AST-0196,Public Toilet Complex,West Bengal,HOWRAH,33.15093,91.53187,ACTIVE,2010,FAIR,TRUE
AST-0197,Bridge / Culvert,Gujarat,SURAT,30.15098,80.9708,ACTIVE,2018,FAIR,TRUE
AST-0198,Community Hall,Rajasthan,JHUNJHUNU,17.33848,85.25797,ACTIVE,2019,FAIR,TRUE
AST-0199,Public Toilet Complex,Kerala,ALAPPUZHA,11.54063,75.17709,UNDER_MAINTENANCE,2020,GOOD,TRUE
AST-0200,Bus Shelter,Bihar,JHANJHARPUR,28.73017,80.19462,UNDER_MAINTENANCE,2025,CRITICAL,TRUE
