request_id,citizen_need_text,need_category,state,constituency,linked_work_id,status,created_at,data_origin
CREQ-0073,"Residents of the the northern block area report that there is no public toilet facility near the market area, affecting daily commute and access to essential services for roughly 220 households.",Public toilet complex,Tamil Nadu,ERODE,,NEED_IDENTIFICATION,2025-07-24,SYNTHETIC_DEMO
CREQ-0029,"A grievance was submitted describing how garbage collection is irregular and waste accumulates near residential areas, particularly affecting students and elderly residents in Ward 11.",Solid waste management,Telangana,WARANGAL,,SUGGESTED_WORK_IDENTIFIED,2025-07-27,SYNTHETIC_DEMO
CREQ-0025,"Local residents have raised concerns that the anganwadi center lacks adequate space and sanitation facilities near the old town area, and are requesting consideration for anganwadi center upgrade works.",Anganwadi center upgrade,Tamil Nadu,ERODE,,NEED_IDENTIFICATION,2025-07-29,SYNTHETIC_DEMO
CREQ-0114,"Residents of the the market area area report that there is no community hall available for local gatherings and government camps, affecting daily commute and access to essential services for roughly 45 households.",Community hall,Uttar Pradesh,JAUNPUR,,SUBMITTED,2025-07-30,SYNTHETIC_DEMO
CREQ-0048,"A grievance was submitted describing how commuters have no shelter at the bus stop during rain or peak summer heat, particularly affecting students and elderly residents in the railway colony.",Bus shelter,Madhya Pradesh,MANDSOUR,,RECOMMENDATION_SUBMITTED,2025-07-31,SYNTHETIC_DEMO
CREQ-0030,"Local residents have raised concerns that open drains overflow onto the roadway during heavy rainfall near Ward 7, and are requesting consideration for drainage system works.",Drainage system,Maharashtra,NASHIK,,MP_REVIEW,2025-08-07,SYNTHETIC_DEMO
CREQ-0076,"Residents of the the market area area report that there is no maintained green space or park accessible to residents, affecting daily commute and access to essential services for roughly 45 households.",Public park,Tamil Nadu,VIRUDHUNAGAR,,SUGGESTED_WORK_IDENTIFIED,2025-08-07,SYNTHETIC_DEMO
CREQ-0084,"A grievance was submitted describing how the anganwadi center lacks adequate space and sanitation facilities, particularly affecting students and elderly residents in the riverside settlement.",Anganwadi center upgrade,Tamil Nadu,ERODE,,SUBMITTED,2025-08-11,SYNTHETIC_DEMO
CREQ-0038,"Local residents have raised concerns that the nearest functional handpump is over a kilometre from several households near the eastern colony, and are requesting consideration for handpump / borewell installation works.",Handpump / borewell installation,Madhya Pradesh,GUNA,,NEED_IDENTIFICATION,2025-08-12,SYNTHETIC_DEMO
CREQ-0044,"Residents of the Ward 5 area report that the culvert connecting the two hamlets is damaged and unsafe during monsoon, affecting daily commute and access to essential services for roughly 70 households.",Bridge / culvert repair,Tamil Nadu,VIRUDHUNAGAR,,MP_REVIEW,2025-08-13,SYNTHETIC_DEMO
CREQ-0099,"The suggestion describes there is no community hall available for local gatherings and government camps in the railway colony, with an estimated 130 families affected during peak usage hours.",Community hall,Tamil Nadu,ERODE,,SUGGESTED_WORK_IDENTIFIED,2025-08-28,SYNTHETIC_DEMO
CREQ-0120,"A grievance was submitted describing how the area has no grid electricity access for conventional street lighting, particularly affecting students and elderly residents in Ward 7.",Solar street lighting,Uttar Pradesh,JAUNPUR,,NEED_IDENTIFICATION,2025-09-05,SYNTHETIC_DEMO
CREQ-0126,"Community members in the panchayat office area flagged that the anganwadi center lacks adequate space and sanitation facilities, and requested that the MP consider sanctioning anganwadi center upgrade works in the area.",Anganwadi center upgrade,Punjab,LUDHIANA,,MP_REVIEW,2025-09-09,SYNTHETIC_DEMO
CREQ-0020,"The suggestion describes the irrigation channel is silted and does not carry water reliably to the fields in the northern block, with an estimated 130 families affected during peak usage hours.",Irrigation channel,Rajasthan,JHUNJHUNU,,MP_REVIEW,2025-09-10,SYNTHETIC_DEMO
CREQ-0063,"A grievance was submitted describing how there is no maintained playground or sports ground for local youth, particularly affecting students and elderly residents in the panchayat office area.",Sports facility,Uttar Pradesh,JAUNPUR,,RECOMMENDATION_CREATED,2025-09-13,SYNTHETIC_DEMO
CREQ-0054,"A grievance was submitted describing how several stretches of the main road remain unlit after dusk, creating safety concerns, particularly affecting students and elderly residents in the industrial estate road.",Street lighting,Rajasthan,JHUNJHUNU,,MP_REVIEW,2025-09-19,SYNTHETIC_DEMO
CREQ-0100,"A citizen suggestion notes that the community hall in the southern extension has not been upgraded in several years, and there is no community hall available for local gatherings and government camps.",Community hall,Rajasthan,RAJSAMAND,,RECOMMENDATION_CREATED,2025-09-21,SYNTHETIC_DEMO
CREQ-0031,"Residents of the the riverside settlement area report that the area has no grid electricity access for conventional street lighting, affecting daily commute and access to essential services for roughly 175 households.",Solar street lighting,Tamil Nadu,ERODE,,RECOMMENDATION_SUBMITTED,2025-09-22,SYNTHETIC_DEMO
CREQ-0045,"Residents of the the industrial estate road area report that there is no maintained playground or sports ground for local youth, affecting daily commute and access to essential services for roughly 220 households.",Sports facility,Bihar,GAYA,,SUGGESTED_WORK_IDENTIFIED,2025-09-24,SYNTHETIC_DEMO
CREQ-0124,"Residents of the Ward 3 area report that open drains overflow onto the roadway during heavy rainfall, affecting daily commute and access to essential services for roughly 70 households.",Drainage system,Telangana,WARANGAL,,SUBMITTED,2025-09-25,SYNTHETIC_DEMO
CREQ-0008,"Community members in Ward 3 flagged that the culvert connecting the two hamlets is damaged and unsafe during monsoon, and requested that the MP consider sanctioning bridge / culvert repair works in the area.",Bridge / culvert repair,Maharashtra,AMRAVATI(SC),WS/MP18112/2025-2026/177331,SUGGESTED_WORK_IDENTIFIED,2025-09-28,SYNTHETIC_DEMO
CREQ-0034,"A grievance was submitted describing how the irrigation channel is silted and does not carry water reliably to the fields, particularly affecting students and elderly residents in Ward 3.",Irrigation channel,West Bengal,HOWRAH,,SUBMITTED,2025-09-28,SYNTHETIC_DEMO
CREQ-0059,"A citizen suggestion notes that the bridge / culvert repair in the panchayat office area has not been upgraded in several years, and the culvert connecting the two hamlets is damaged and unsafe during monsoon.",Bridge / culvert repair,Gujarat,SURAT,,RECOMMENDATION_CREATED,2025-09-29,SYNTHETIC_DEMO
CREQ-0055,"Community members in the outskirts hamlet flagged that there is no reading room or library facility accessible to students in the area, and requested that the MP consider sanctioning public library works in the area.",Public library,Telangana,WARANGAL,,RECOMMENDATION_CREATED,2025-09-30,SYNTHETIC_DEMO
CREQ-0019,"A grievance was submitted describing how the existing water supply point runs dry for several hours a day during summer months, particularly affecting students and elderly residents in the panchayat office area.",Drinking water supply,Bihar,JHANJHARPUR,,SUBMITTED,2025-10-11,SYNTHETIC_DEMO
CREQ-0091,"Local residents have raised concerns that the internal road remains unpaved and becomes waterlogged during monsoon near the old town area, and are requesting consideration for internal road repair works.",Internal road repair,Rajasthan,RAJSAMAND,,SUBMITTED,2025-10-16,SYNTHETIC_DEMO
CREQ-0096,"A grievance was submitted describing how there is no maintained green space or park accessible to residents, particularly affecting students and elderly residents in the riverside settlement.",Public park,Uttar Pradesh,JAUNPUR,,SUGGESTED_WORK_IDENTIFIED,2025-10-17,SYNTHETIC_DEMO
CREQ-0092,"The suggestion describes several stretches of the main road remain unlit after dusk, creating safety concerns in Ward 3, with an estimated 220 families affected during peak usage hours.",Street lighting,Karnataka,HAVERI,,RECOMMENDATION_CREATED,2025-10-27,SYNTHETIC_DEMO
CREQ-0010,"Residents of the the old town area area report that the existing water supply point runs dry for several hours a day during summer months, affecting daily commute and access to essential services for roughly 120 households.",Drinking water supply,Karnataka,HAVERI,WS/MP18087/2025-2026/178984,NEED_IDENTIFICATION,2025-10-31,SYNTHETIC_DEMO
CREQ-0085,"Community members in the railway colony flagged that the nearest functional handpump is over a kilometre from several households, and requested that the MP consider sanctioning handpump / borewell installation works in the area.",Handpump / borewell installation,Rajasthan,RAJSAMAND,,RECOMMENDATION_SUBMITTED,2025-11-02,SYNTHETIC_DEMO
CREQ-0089,"A grievance was submitted describing how the nearest functional handpump is over a kilometre from several households, particularly affecting students and elderly residents in the old town area.",Handpump / borewell installation,Tamil Nadu,ARAKKONAM,,NEED_IDENTIFICATION,2025-11-08,SYNTHETIC_DEMO
CREQ-0047,"The suggestion describes several stretches of the main road remain unlit after dusk, creating safety concerns in Ward 7, with an estimated 220 families affected during peak usage hours.",Street lighting,Bihar,GAYA,,RECOMMENDATION_SUBMITTED,2025-11-10,SYNTHETIC_DEMO
CREQ-0052,"Residents of the the northern block area report that the area has no grid electricity access for conventional street lighting, affecting daily commute and access to essential services for roughly 130 households.",Solar street lighting,Madhya Pradesh,MANDSOUR,,RECOMMENDATION_CREATED,2025-11-11,SYNTHETIC_DEMO
CREQ-0118,"Community members in the market area flagged that several stretches of the main road remain unlit after dusk, creating safety concerns, and requested that the MP consider sanctioning street lighting works in the area.",Street lighting,Madhya Pradesh,GUNA,,RECOMMENDATION_SUBMITTED,2025-11-14,SYNTHETIC_DEMO
CREQ-0102,"Local residents have raised concerns that the area has no grid electricity access for conventional street lighting near the northern block, and are requesting consideration for solar street lighting works.",Solar street lighting,Karnataka,HAVERI,,SUBMITTED,2025-11-18,SYNTHETIC_DEMO
CREQ-0024,"A citizen suggestion notes that the bus shelter in Sector 2 has not been upgraded in several years, and commuters have no shelter at the bus stop during rain or peak summer heat.",Bus shelter,Tamil Nadu,ERODE,,NEED_IDENTIFICATION,2025-11-26,SYNTHETIC_DEMO
CREQ-0011,"A citizen suggestion notes that the drainage system in the southern extension has not been upgraded in several years, and open drains overflow onto the roadway during heavy rainfall.",Drainage system,Tamil Nadu,ERODE,WS/MP18177/2025-2026/168464,SUBMITTED,2025-11-28,SYNTHETIC_DEMO
CREQ-0107,"The suggestion describes there is no reading room or library facility accessible to students in the area in the eastern colony, with an estimated 175 families affected during peak usage hours.",Public library,Maharashtra,AMRAVATI(SC),,MP_REVIEW,2025-12-13,SYNTHETIC_DEMO
CREQ-0043,"Residents of the the railway colony area report that the culvert connecting the two hamlets is damaged and unsafe during monsoon, affecting daily commute and access to essential services for roughly 45 households.",Bridge / culvert repair,Odisha,CUTTACK,,SUBMITTED,2025-12-18,SYNTHETIC_DEMO
CREQ-0017,"Residents of the the railway colony area report that there is no maintained playground or sports ground for local youth, affecting daily commute and access to essential services for roughly 70 households.",Sports facility,Bihar,GAYA,,MP_REVIEW,2025-12-21,SYNTHETIC_DEMO
CREQ-0087,"The suggestion describes the culvert connecting the two hamlets is damaged and unsafe during monsoon in Sector 2, with an estimated 70 families affected during peak usage hours.",Bridge / culvert repair,Tamil Nadu,ARAKKONAM,,NEED_IDENTIFICATION,2025-12-22,SYNTHETIC_DEMO
CREQ-0130,"A grievance was submitted describing how several stretches of the main road remain unlit after dusk, creating safety concerns, particularly affecting students and elderly residents in Ward 5.",Street lighting,Kerala,ALAPPUZHA,,SUBMITTED,2025-12-22,SYNTHETIC_DEMO
CREQ-0116,"The suggestion describes there is no maintained playground or sports ground for local youth in the riverside settlement, with an estimated 70 families affected during peak usage hours.",Sports facility,Tamil Nadu,VIRUDHUNAGAR,,CLOSED_NOT_TAKEN_UP,2025-12-25,SYNTHETIC_DEMO
CREQ-0049,"A citizen suggestion notes that the bus shelter in Ward 5 has not been upgraded in several years, and commuters have no shelter at the bus stop during rain or peak summer heat.",Bus shelter,Maharashtra,NASHIK,,SUBMITTED,2025-12-29,SYNTHETIC_DEMO
CREQ-0119,"Residents of the the railway colony area report that the nearest health sub-center is several kilometres away with limited operating hours, affecting daily commute and access to essential services for roughly 70 households.",Public health sub-center,Bihar,JHANJHARPUR,,CLOSED_NOT_TAKEN_UP,2026-01-02,SYNTHETIC_DEMO
CREQ-0026,"A citizen suggestion notes that the community hall in Sector 2 has not been upgraded in several years, and there is no community hall available for local gatherings and government camps.",Community hall,Bihar,JHANJHARPUR,,RECOMMENDATION_SUBMITTED,2026-01-03,SYNTHETIC_DEMO
CREQ-0083,"A grievance was submitted describing how there is no community hall available for local gatherings and government camps, particularly affecting students and elderly residents in Ward 11.",Community hall,Punjab,LUDHIANA,,SUBMITTED,2026-01-09,SYNTHETIC_DEMO
CREQ-0086,"Community members in the northern block flagged that the nearest functional handpump is over a kilometre from several households, and requested that the MP consider sanctioning handpump / borewell installation works in the area.",Handpump / borewell installation,Gujarat,SURAT,,SUGGESTED_WORK_IDENTIFIED,2026-01-13,SYNTHETIC_DEMO
CREQ-0015,"Local residents have raised concerns that there is no maintained playground or sports ground for local youth near Ward 3, and are requesting consideration for sports facility works.",Sports facility,Tamil Nadu,VIRUDHUNAGAR,,RECOMMENDATION_SUBMITTED,2026-01-27,SYNTHETIC_DEMO
CREQ-0023,"A citizen suggestion notes that the irrigation channel in the railway colony has not been upgraded in several years, and the irrigation channel is silted and does not carry water reliably to the fields.",Irrigation channel,Gujarat,SURAT,,RECOMMENDATION_SUBMITTED,2026-02-09,SYNTHETIC_DEMO
CREQ-0003,"Residents of the the railway colony area report that the internal road remains unpaved and becomes waterlogged during monsoon, affecting daily commute and access to essential services for roughly 60 households.",Internal road repair,Madhya Pradesh,MANDSOUR,WS/MP356/2023-2024/13198,SUBMITTED,2026-02-12,SYNTHETIC_DEMO
CREQ-0123,"Community members in the riverside settlement flagged that the nearest functional handpump is over a kilometre from several households, and requested that the MP consider sanctioning handpump / borewell installation works in the area.",Handpump / borewell installation,Madhya Pradesh,GUNA,,SUGGESTED_WORK_IDENTIFIED,2026-02-14,SYNTHETIC_DEMO
CREQ-0014,"A citizen suggestion notes that the public park in the riverside settlement has not been upgraded in several years, and there is no maintained green space or park accessible to residents.",Public park,,,WS/MP18019/2025-2026/216372,SUGGESTED_WORK_IDENTIFIED,2026-02-26,SYNTHETIC_DEMO
CREQ-0128,"A citizen suggestion notes that the solar street lighting in the old town area has not been upgraded in several years, and the area has no grid electricity access for conventional street lighting.",Solar street lighting,Tamil Nadu,ERODE,,SUBMITTED,2026-02-26,SYNTHETIC_DEMO
CREQ-0077,"A citizen suggestion notes that the bus shelter in Ward 3 has not been upgraded in several years, and commuters have no shelter at the bus stop during rain or peak summer heat.",Bus shelter,Tamil Nadu,VIRUDHUNAGAR,,SUBMITTED,2026-03-01,SYNTHETIC_DEMO
CREQ-0090,"The suggestion describes the culvert connecting the two hamlets is damaged and unsafe during monsoon in Sector 2, with an estimated 70 families affected during peak usage hours.",Bridge / culvert repair,Tamil Nadu,ARAKKONAM,,NEED_IDENTIFICATION,2026-03-01,SYNTHETIC_DEMO
CREQ-0016,"Local residents have raised concerns that the existing water supply point runs dry for several hours a day during summer months near the old town area, and are requesting consideration for drinking water supply works.",Drinking water supply,Tamil Nadu,ARAKKONAM,,SUBMITTED,2026-03-03,SYNTHETIC_DEMO
CREQ-0115,"Residents of the the industrial estate road area report that the nearest health sub-center is several kilometres away with limited operating hours, affecting daily commute and access to essential services for roughly 25 households.",Public health sub-center,West Bengal,HOWRAH,,SUBMITTED,2026-03-06,SYNTHETIC_DEMO
CREQ-0103,"Local residents have raised concerns that commuters have no shelter at the bus stop during rain or peak summer heat near the outskirts hamlet, and are requesting consideration for bus shelter works.",Bus shelter,Tamil Nadu,ERODE,,RECOMMENDATION_CREATED,2026-03-09,SYNTHETIC_DEMO
CREQ-0110,"Community members in the riverside settlement flagged that the anganwadi center lacks adequate space and sanitation facilities, and requested that the MP consider sanctioning anganwadi center upgrade works in the area.",Anganwadi center upgrade,Rajasthan,RAJSAMAND,,SUBMITTED,2026-03-10,SYNTHETIC_DEMO
CREQ-0027,"The suggestion describes several stretches of the main road remain unlit after dusk, creating safety concerns in Ward 5, with an estimated 130 families affected during peak usage hours.",Street lighting,Tamil Nadu,VIRUDHUNAGAR,,SUGGESTED_WORK_IDENTIFIED,2026-03-11,SYNTHETIC_DEMO
CREQ-0117,"Local residents have raised concerns that the irrigation channel is silted and does not carry water reliably to the fields near the railway colony, and are requesting consideration for irrigation channel works.",Irrigation channel,Tamil Nadu,ARAKKONAM,,NEED_IDENTIFICATION,2026-03-11,SYNTHETIC_DEMO
CREQ-0013,"The suggestion describes garbage collection is irregular and waste accumulates near residential areas in Ward 7, with an estimated 60 families affected during peak usage hours.",Solid waste management,,,WS/MP446/2023-2024/122215,RECOMMENDATION_CREATED,2026-03-15,SYNTHETIC_DEMO
CREQ-0111,"A grievance was submitted describing how there is no public toilet facility near the market area, particularly affecting students and elderly residents in Ward 3.",Public toilet complex,Tamil Nadu,ERODE,,NEED_IDENTIFICATION,2026-03-20,SYNTHETIC_DEMO
CREQ-0106,"Community members in the outskirts hamlet flagged that the local school building has an unrepaired roof and insufficient classroom space, and requested that the MP consider sanctioning school infrastructure works in the area.",School infrastructure,Madhya Pradesh,MANDSOUR,,SUGGESTED_WORK_IDENTIFIED,2026-03-30,SYNTHETIC_DEMO
CREQ-0022,"A grievance was submitted describing how the culvert connecting the two hamlets is damaged and unsafe during monsoon, particularly affecting students and elderly residents in Ward 3.",Bridge / culvert repair,Telangana,WARANGAL,,NEED_IDENTIFICATION,2026-03-31,SYNTHETIC_DEMO
CREQ-0041,"The suggestion describes the local school building has an unrepaired roof and insufficient classroom space in Ward 11, with an estimated 70 families affected during peak usage hours.",School infrastructure,Uttar Pradesh,JAUNPUR,,RECOMMENDATION_CREATED,2026-04-01,SYNTHETIC_DEMO
CREQ-0098,"A grievance was submitted describing how the nearest functional handpump is over a kilometre from several households, particularly affecting students and elderly residents in the outskirts hamlet.",Handpump / borewell installation,Uttar Pradesh,JAUNPUR,,SUBMITTED,2026-04-05,SYNTHETIC_DEMO
CREQ-0028,"Community members in the southern extension flagged that the anganwadi center lacks adequate space and sanitation facilities, and requested that the MP consider sanctioning anganwadi center upgrade works in the area.",Anganwadi center upgrade,Gujarat,SURAT,,SUBMITTED,2026-04-06,SYNTHETIC_DEMO
CREQ-0070,"A grievance was submitted describing how the anganwadi center lacks adequate space and sanitation facilities, particularly affecting students and elderly residents in the railway colony.",Anganwadi center upgrade,Rajasthan,RAJSAMAND,,SUBMITTED,2026-04-06,SYNTHETIC_DEMO
CREQ-0051,"Residents of the Ward 7 area report that the nearest health sub-center is several kilometres away with limited operating hours, affecting daily commute and access to essential services for roughly 90 households.",Public health sub-center,Gujarat,SURAT,,NEED_IDENTIFICATION,2026-04-19,SYNTHETIC_DEMO
CREQ-0039,"A citizen suggestion notes that the handpump / borewell installation in the northern block has not been upgraded in several years, and the nearest functional handpump is over a kilometre from several households.",Handpump / borewell installation,Bihar,JHANJHARPUR,,RECOMMENDATION_SUBMITTED,2026-04-21,SYNTHETIC_DEMO
CREQ-0050,"Local residents have raised concerns that the internal road remains unpaved and becomes waterlogged during monsoon near the industrial estate road, and are requesting consideration for internal road repair works.",Internal road repair,Tamil Nadu,VIRUDHUNAGAR,,RECOMMENDATION_CREATED,2026-04-21,SYNTHETIC_DEMO
CREQ-0078,"The suggestion describes open drains overflow onto the roadway during heavy rainfall in Ward 11, with an estimated 70 families affected during peak usage hours.",Drainage system,Odisha,CUTTACK,,SUBMITTED,2026-04-22,SYNTHETIC_DEMO
CREQ-0001,"Local residents have raised concerns that there is no maintained green space or park accessible to residents near Ward 11, and are requesting consideration for public park works.",Public park,Bihar,JHANJHARPUR,WS/MP508/2023-2024/13249,NEED_IDENTIFICATION,2026-04-23,SYNTHETIC_DEMO
CREQ-0093,"Community members in the riverside settlement flagged that there is no reading room or library facility accessible to students in the area, and requested that the MP consider sanctioning public library works in the area.",Public library,Tamil Nadu,VIRUDHUNAGAR,,SUGGESTED_WORK_IDENTIFIED,2026-04-30,SYNTHETIC_DEMO
CREQ-0094,"The suggestion describes the local school building has an unrepaired roof and insufficient classroom space in Ward 5, with an estimated 130 families affected during peak usage hours.",School infrastructure,Maharashtra,NASHIK,,RECOMMENDATION_SUBMITTED,2026-05-01,SYNTHETIC_DEMO
CREQ-0127,"The suggestion describes several stretches of the main road remain unlit after dusk, creating safety concerns in the panchayat office area, with an estimated 220 families affected during peak usage hours.",Street lighting,Maharashtra,AMRAVATI(SC),,NEED_IDENTIFICATION,2026-05-01,SYNTHETIC_DEMO
CREQ-0007,"A grievance was submitted describing how the irrigation channel is silted and does not carry water reliably to the fields, particularly affecting students and elderly residents in the old town area.",Irrigation channel,Rajasthan,RAJSAMAND,WS/MP383/2024-2025/11216,RECOMMENDATION_CREATED,2026-05-04,SYNTHETIC_DEMO
CREQ-0053,"Residents of the the industrial estate road area report that the anganwadi center lacks adequate space and sanitation facilities, affecting daily commute and access to essential services for roughly 130 households.",Anganwadi center upgrade,Uttar Pradesh,JAUNPUR,,RECOMMENDATION_SUBMITTED,2026-05-10,SYNTHETIC_DEMO
CREQ-0033,"The suggestion describes there is no reading room or library facility accessible to students in the area in the eastern colony, with an estimated 220 families affected during peak usage hours.",Public library,Madhya Pradesh,MANDSOUR,,SUGGESTED_WORK_IDENTIFIED,2026-05-12,SYNTHETIC_DEMO
CREQ-0109,"A citizen suggestion notes that the handpump / borewell installation in the eastern colony has not been upgraded in several years, and the nearest functional handpump is over a kilometre from several households.",Handpump / borewell installation,Gujarat,SURAT,,SUBMITTED,2026-05-13,SYNTHETIC_DEMO
CREQ-0005,"A citizen suggestion notes that the handpump / borewell installation in Ward 5 has not been upgraded in several years, and the nearest functional handpump is over a kilometre from several households.",Handpump / borewell installation,Tamil Nadu,VIRUDHUNAGAR,WS/MP747/2025-2026/205068,RECOMMENDATION_CREATED,2026-06-02,SYNTHETIC_DEMO
CREQ-0068,"The suggestion describes the nearest functional handpump is over a kilometre from several households in the outskirts hamlet, with an estimated 45 families affected during peak usage hours.",Handpump / borewell installation,Telangana,WARANGAL,,RECOMMENDATION_CREATED,2026-06-02,SYNTHETIC_DEMO
CREQ-0042,"Local residents have raised concerns that the nearest functional handpump is over a kilometre from several households near the outskirts hamlet, and are requesting consideration for handpump / borewell installation works.",Handpump / borewell installation,Uttar Pradesh,JAUNPUR,,CLOSED_NOT_TAKEN_UP,2026-06-06,SYNTHETIC_DEMO
CREQ-0062,"Local residents have raised concerns that the anganwadi center lacks adequate space and sanitation facilities near Ward 11, and are requesting consideration for anganwadi center upgrade works.",Anganwadi center upgrade,Punjab,LUDHIANA,,SUBMITTED,2026-06-12,SYNTHETIC_DEMO
CREQ-0064,"Local residents have raised concerns that commuters have no shelter at the bus stop during rain or peak summer heat near the panchayat office area, and are requesting consideration for bus shelter works.",Bus shelter,Tamil Nadu,ARAKKONAM,,MP_REVIEW,2026-06-12,SYNTHETIC_DEMO
CREQ-0071,"A grievance was submitted describing how garbage collection is irregular and waste accumulates near residential areas, particularly affecting students and elderly residents in the northern block.",Solid waste management,Kerala,ALAPPUZHA,,MP_REVIEW,2026-06-12,SYNTHETIC_DEMO
CREQ-0082,"A citizen suggestion notes that the bridge / culvert repair in Sector 2 has not been upgraded in several years, and the culvert connecting the two hamlets is damaged and unsafe during monsoon.",Bridge / culvert repair,Tamil Nadu,ARAKKONAM,,NEED_IDENTIFICATION,2026-06-13,SYNTHETIC_DEMO
CREQ-0105,"Local residents have raised concerns that the internal road remains unpaved and becomes waterlogged during monsoon near the old town area, and are requesting consideration for internal road repair works.",Internal road repair,Tamil Nadu,ERODE,,SUBMITTED,2026-06-14,SYNTHETIC_DEMO
CREQ-0065,"The suggestion describes there is no community hall available for local gatherings and government camps in Ward 7, with an estimated 220 families affected during peak usage hours.",Community hall,Odisha,CUTTACK,,MP_REVIEW,2026-06-28,SYNTHETIC_DEMO
CREQ-0012,"Residents of the the outskirts hamlet area report that the culvert connecting the two hamlets is damaged and unsafe during monsoon, affecting daily commute and access to essential services for roughly 200 households.",Bridge / culvert repair,Rajasthan,JHUNJHUNU,WS/MP18167/2025-2026/228471,SUBMITTED,2026-07-01,SYNTHETIC_DEMO
CREQ-0006,"Residents of the the riverside settlement area report that there is no public toilet facility near the market area, affecting daily commute and access to essential services for roughly 150 households.",Public toilet complex,Uttar Pradesh,JAUNPUR,WS/MP18222/2025-2026/184028,SUGGESTED_WORK_IDENTIFIED,2026-07-05,SYNTHETIC_DEMO
CREQ-0004,"Community members in Ward 3 flagged that the local school building has an unrepaired roof and insufficient classroom space, and requested that the MP consider sanctioning school infrastructure works in the area.",School infrastructure,Madhya Pradesh,GUNA,WS/MP18357/2025-2026/177245,RECOMMENDATION_CREATED,2026-07-07,SYNTHETIC_DEMO
