recommendation_id,request_id,work_id,suggested_work_type,suggestion_reason,proposed_category,estimated_amount,priority,mp_decision,mp_justification,status,created_at,synthetic
REC-0014,CREQ-0052,,Solar street lighting,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Solar street lighting,150000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-12-03,TRUE
REC-0015,CREQ-0118,,Street lighting,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Street lighting,600000,LOW,DEFERRED,"Sound need, but deferred pending budget availability in the current cycle.",SUBMITTED,2025-12-01,TRUE
REC-0016,CREQ-0026,,Community hall,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Community hall,150000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-01-14,TRUE
REC-0017,CREQ-0015,,Sports facility,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Sports facility,250000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-02-18,TRUE
REC-0018,CREQ-0023,,Irrigation channel,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Irrigation channel,150000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-02-21,TRUE
REC-0019,CREQ-0103,,Bus shelter,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Bus shelter,250000,LOW,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-03-21,TRUE
REC-0020,CREQ-0013,,Solid waste management,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Solid waste management,850000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-04-09,TRUE
REC-0021,CREQ-0041,,School infrastructure,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,School infrastructure,250000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2026-04-25,TRUE
REC-0022,CREQ-0039,,Handpump / borewell installation,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Handpump / borewell installation,150000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-04-23,TRUE
REC-0023,CREQ-0050,,Internal road repair,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Internal road repair,250000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-04-24,TRUE
REC-0024,CREQ-0094,,School infrastructure,Field-level input from the MP team indicates this work would address a recurring citizen concern.,School infrastructure,400000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-05-05,TRUE
REC-0025,CREQ-0007,,Irrigation channel,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Irrigation channel,1200000,HIGH,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-05-15,TRUE
REC-0026,CREQ-0053,,Anganwadi center upgrade,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Anganwadi center upgrade,1800000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-05-14,TRUE
REC-0027,CREQ-0005,,Handpump / borewell installation,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Handpump / borewell installation,150000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-06-15,TRUE
REC-0028,CREQ-0068,,Handpump / borewell installation,The need aligns with an underserved category identified during MP team review of pending suggestions.,Handpump / borewell installation,600000,LOW,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-06-15,TRUE
REC-0029,CREQ-0004,,School infrastructure,Field-level input from the MP team indicates this work would address a recurring citizen concern.,School infrastructure,400000,HIGH,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-07-11,TRUE
REC-0030,CREQ-0079,,Drinking water supply,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Drinking water supply,850000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-08-03,TRUE
REC-0031,CREQ-0095,,Solid waste management,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Solid waste management,150000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2026-07-25,TRUE
REC-0032,CREQ-0122,,Irrigation channel,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Irrigation channel,600000,HIGH,DEFERRED,"Sound need, but deferred pending budget availability in the current cycle.",DRAFT,2026-07-22,TRUE
REC-0033,CREQ-0036,,Irrigation channel,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Irrigation channel,850000,LOW,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2026-08-14,TRUE
REC-0034,CREQ-0037,,Bus shelter,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Bus shelter,150000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2026-08-13,TRUE
REC-0035,CREQ-0061,,Drainage system,The need aligns with an underserved category identified during MP team review of pending suggestions.,Drainage system,150000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2026-08-22,TRUE
REC-0036,CREQ-0121,,Public park,The need aligns with an underserved category identified during MP team review of pending suggestions.,Public park,400000,HIGH,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2026-09-07,TRUE
